codigo_produto,codigo,descricao,completo,rua,andar,edificio,apartamento
10656436617,05.MP.I.80087,"*CORPO VALVULA EXPANSAO FTI25,35 6.35/DPF1.3C-B001/ - 13170002000069",01-03-24-P03,01,03,24,P03
10437794475,05.MP.I.80055,"CORPO VALVULA EXPANSAO FTI25,35 6.35/DPF1.3C-S101/ - 13070002000800",01-03-24-P07,01,03,24,P07
10414797885,05.MP.I.80051,"CORPO VALVULA EXPANSAO FTI45,55 DPF1.65C-S025 - 13070002000869",01-03-24-P04,01,03,24,P04
10431238972,05.MP.I.80052,CORPO VALVULA EXPANSAO FTI75 /6.35/DPF1.8C-B013/ - 13170002000071,01-03-24-P06,01,03,24,P06
10431246558,05.MP.I.80053,CORPO VALVULA EXPANSAO FTI105 8/DPF-B-2_4C-011/ - 13070002000972,01-03-24-P02,01,03,24,P02
10431246680,05.MP.I.80054,CORPO VALVULA EXPANSAO FTI125 8/DPF(B)-3.0C-006/ - 13070002001074,01-03-24-P01,01,03,24,P01
10529526104,07.MP.I.80232,CAPA DO COMPRESSOR FTi-25 N09 - 13110001001276,01-04-24-G10,01,04,24,G10
10533220353,07.MP.I.80233,CAPA DO COMPRESSOR FTi-55 N10 - 13110001001264,01-04-24-G09,01,04,24,G09
10660824827,07.MP.I.80025,CAPA DO COMPRESSOR - 13110001001365,01-04-24-G07,01,04,24,G07
10485147734,07.MP.I.80036,ISOLAMENTO ACUSTICO PAINEL FRONTAL N10.3.0 FTi55 SOLAREAST 550*270 - 13060003000320,01-01-22-002,01,01,22,002
10485147724,07.MP.I.80035,ISOLAMENTO ACUSTICO PAINEL DIREITO N10.3.0 FTi55 SOLAREAST 540*270 - 13060003000319,01-01-22-002,01,01,22,002
10599393292,04.MP.I.60307,CAPACITOR DE REGIME 25MFD 450V,01-07-24-001,01,07,24,001
10409717247,04.MP.I.60303,CAPACITOR DE REGIME 35MFD 440V,01-07-24-001,01,07,24,001
10409717251,04.MP.I.60305,CAPACITOR DE REGIME 45MFD 440V,01-07-24-001,01,07,24,001
10409717243,04.MP.I.60301,CAPACITOR DE REGIME 5MFD 450V,01-07-24-002,01,07,24,002
10409717861,07.MP.N.90507,R32 GAS FLUIDO REFRIGERANTE,03-01-01-002,03,01,01,002
10409717859,07.MP.N.90506,R22 GAS FLUIDO REFRIGERANTE,03-01-01-002,03,01,01,002
10409717863,07.MP.N.90508,R404A GAS FLUIDO REFRIGERANTE,03-01-01-001,03,01,01,001
10409717865,07.MP.N.90509,R410A GAS FLUIDO REFRIGERANTE,03-01-01-001,03,01,01,001
10409717867,07.MP.N.90510,R134A GAS FLUIDO REFRIGERANTE,03-01-01-001,03,01,01,001
10409717181,03.MP.N.50110,GRADE VENTILADOR N03 660MM FERRO ZINCADO FT160,01-02-01-002,01,02,01,002
